Index;Region
1;Left precentral gyrus
2;Right precentral gyrus
3;Left superior frontal gyrus, dorsolateral
4;Right superior frontal gyrus, dorsolateral
5;Left superior frontal gyrus, orbital part
6;Right superior frontal gyrus, orbital part
7;Left middle frontal gyrus, lateral part
8;Right middle frontal gyrus, lateral part
9;Left middle frontal gyrus, orbital part
10;Right middle frontal gyrus, orbital part
11;Left opercular part of inferior frontal gyrus
12;Right opercular part of inferior frontal gyrus
13;Left area triangularis
14;Right area triangularis
15;Left orbital part of inferior frontal gyrus
16;Right orbital part of inferior frontal gyrus
17;Left rolandic operculum
18;Right rolandic operculum
19;Left supplementary motor area
20;Right supplementary motor area
21;Left olfactory cortex
22;Right olfactory cortex
23;Left superior frontal gyrus, medial part
24;Right superior frontal gyrus, medial part
25;Left superior frontal gyrus, medial orbital part
26;Right superior frontal gyrus, medial orbital part
27;Left gyrus rectus
28;Right gyrus rectus
29;Left insula
30;Right insula
31;Left anterior cingulate gyrus
32;Right anterior cingulate gyrus
33;Left middle cingulate
34;Right middle cingulate
35;Left posterior cingulate gyrus
36;Right posterior cingulate gyrus
37;Left hippocampus
38;Right hippocampus
39;Left parahippocampal gyrus
40;Right parahippocampal gyrus
41;Left amygdala
42;Right amygdala
43;Left calcarine sulcus
44;Right calcarine sulcus
45;Left cuneus
46;Right cuneus
47;Left lingual gyrus
48;Right lingual gyrus
49;Left superior occipital
50;Right superior occipital
51;Left middle occipital
52;Right middle occipital
53;Left inferior occipital
54;Right inferior occipital
55;Left fusiform gyrus
56;Right fusiform gyrus
57;Left postcentral gyrus
58;Right postcentral gyrus
59;Left superior parietal lobule
60;Right superior parietal lobule
61;Left inferior parietal lobule
62;Right inferior parietal lobule
63;Left supramarginal gyrus
64;Right supramarginal gyrus
65;Left angular gyrus
66;Right angular gyrus
67;Left precuneus
68;Right precuneus
69;Left paracentral lobule
70;Right paracentral lobule
71;Left caudate nucleus
72;Right caudate nucleus
73;Left putamen
74;Right putamen
75;Left globus pallidus
76;Right globus pallidus
77;Left thalamus
78;Right thalamus
79;Left transverse temporal gyri
80;Right transverse temporal gyri
81;Left superior temporal gyrus
82;Right superior temporal gyrus
83;Left superior temporal pole
84;Right superior temporal pole
85;Left middle temporal gyrus
86;Right middle temporal gyrus
87;Left middle temporal pole
88;Right middle temporal pole
89;Left inferior temporal gyrus
90;Right inferior temporal gyrus
91;Left crus I of cerebellar hemisphere
92;Right crus I of cerebellar hemisphere
93;Left crus II of cerebellar hemisphere
94;Right crus II of cerebellar hemisphere
95;Left Lobule III of cerebellar hemisphere
96;Right Lobule III of cerebellar hemisphere
97;Left lobule IV, V of cerebellar hemisphere
98;Right lobule IV, V of cerebellar hemisphere
99;Left Lobule VI of cerebellar hemisphere
100;Right Lobule VI of cerebellar hemisphere
101;Left lobule VIIB of cerebellar hemisphere
102;Right lobule VIIB of cerebellar hemisphere
103;Left lobule VIII of cerebellar hemisphere
104;Right lobule VIII of cerebellar hemisphere
105;Left lobule IX of cerebellar hemisphere
106;Right lobule IX of cerebellar hemisphere
107;Left lobule X of cerebellar hemisphere (flocculus)
108;Right lobule X of cerebellar hemisphere (flocculus)
109;Lobule I, II of vermis
110;Lobule III of vermis
111;Lobule IV, V of vermis
112;Lobule VI of vermis
113;Lobule VII of vermis
114;Lobule VIII of vermis
115;Lobule IX of vermis
116;Lobule X of vermis (nodulus)
